"","vote16","protest","vote20jb","vote20bs","apppres7","econpres7","covidpres7","healthcarepres7","dtleader1","dtleader2","econnow","confecon","taxecon","hlthcare2","covid1","covid2","covid_elect","impeach1","impeach2","inc_anes","inc_cpsmod"
"3000",2,0,2,2,7,7,88,7,88,5,5,5,4,3,1,1,2,1,7,66,66
"3001",2,0,2,2,7,4,88,4,88,5,5,5,3,3,1,3,4,4,4,66,6
"3002",2,0,2,2,7,7,88,7,88,5,5,4,5,1,2,1,1,7,7,66,66
"3003",2,0,2,2,7,7,88,7,88,5,5,5,7,2,4,1,3,1,7,66,6
"3004",1,1,1,1,1,1,88,1,88,1,1,5,1,5,1,1,1,7,7,66,22
"3005",1,0,1,1,5,2,88,5,88,3,5,5,4,2,2,1,2,7,1,11,66
"3006",1,1,2,2,3,3,88,2,88,2,3,2,3,3,4,2,2,2,4,66,66
"3007",2,0,2,2,7,7,88,7,88,5,5,5,3,2,1,1,1,1,7,66,22
"3008",4,0,1,1,2,2,88,2,88,1,4,5,5,2,2,1,4,7,1,7,66
"3009",1,0,1,1,2,4,88,2,88,4,3,2,4,2,3,2,3,2,3,5,66
"3010",2,0,3,3,7,7,88,7,88,5,4,5,4,5,1,1,3,1,7,20,66
"3011",2,1,2,2,3,2,88,4,88,2,3,4,3,5,5,4,2,4,4,66,66
"3012",1,0,1,1,1,1,88,1,88,1,5,5,2,3,2,1,2,7,1,20,66
"3013",2,0,2,2,7,7,88,7,88,5,5,4,4,1,4,2,3,1,7,22,66
"3014",1,1,2,2,7,7,88,7,88,1,1,4,3,2,2,2,2,3,3,66,66
"3015",2,0,2,2,7,7,88,7,88,5,5,5,7,1,4,2,2,1,7,66,22
"3016",2,0,2,2,7,7,88,7,88,5,5,3,4,4,3,3,2,3,5,66,3
"3017",2,0,2,2,7,6,88,7,88,5,5,5,5,3,3,1,2,1,7,66,66
"3018",4,0,3,3,4,4,88,4,88,3,3,3,6,3,3,3,4,4,4,66,66
"3019",3,0,3,3,7,7,88,7,88,5,5,3,6,1,3,3,3,1,6,66,22
"3020",4,0,1,1,1,1,88,1,88,1,2,4,2,4,4,1,2,7,1,23,66
"3021",2,0,3,3,3,2,88,4,88,4,5,4,1,2,4,4,3,7,2,66,22
"3022",2,0,1,1,2,2,88,2,88,2,2,2,2,1,1,1,1,6,1,66,66
"3023",1,0,1,2,3,3,88,4,88,1,3,3,3,3,2,2,1,5,4,66,66
"3024",1,0,1,1,1,1,88,1,88,1,1,5,6,5,1,1,1,1,1,66,22
"3025",1,0,4,4,3,2,88,3,88,4,3,4,4,4,1,1,1,4,4,66,11
"3026",2,0,2,2,7,7,88,7,88,5,5,2,6,1,2,3,3,1,7,66,66
"3027",2,0,2,2,7,7,88,7,88,5,5,5,4,1,5,1,3,1,7,66,14
"3028",2,0,2,2,7,7,88,6,88,4,4,4,6,3,1,1,3,1,7,66,24
"3029",2,1,3,3,3,2,88,2,88,1,2,2,5,2,4,2,2,2,2,66,22
"3030",3,0,2,2,6,5,88,6,88,4,5,3,5,3,2,2,1,3,4,5,66
"3031",1,0,1,1,2,1,88,2,88,1,1,2,3,4,4,4,3,7,1,22,66
"3032",2,0,2,2,7,7,88,7,88,5,4,4,7,2,1,1,2,1,7,5,66
"3033",2,0,2,2,7,7,88,7,88,5,5,5,7,1,2,1,3,1,7,9,66
"3034",2,0,2,2,6,6,88,5,88,5,4,4,6,4,2,2,3,4,6,66,17
"3035",1,0,1,1,1,1,88,2,88,2,1,3,2,2,4,2,2,7,1,66,21
"3036",1,0,1,1,3,3,88,3,88,3,4,3,3,2,3,3,1,3,3,23,66
"3037",2,1,2,2,1,1,88,1,88,1,1,2,1,5,2,2,1,1,1,66,20
"3038",2,0,3,2,7,7,88,7,88,5,5,5,4,5,1,1,3,1,7,66,66
"3039",2,0,2,2,7,6,88,7,88,5,4,4,5,5,2,2,4,1,7,20,66
